"","pred1","cutIdeal","cutNot.Ideal","channelIndependent","channelInternet","channelMall","storeAshford","storeAusmans","storeBlue.Nile","storeChalmers","storeDanford","storeFred.Meyer","storeGoodmans","storeKay","storeR..Holland","storeRiddles","storeUniversity","storeZales","carat","color","clarity","price"
"343",8.62875368369424,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.05,2,8,5560
"409",9.63376477788758,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2.01,5,6,17450
"387",9.32006478415864,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.5,4,6,11880
"172",8.47284592412575,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.08,6,6,5012
"168",8.84923962839425,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.01,2,5,7790
"75",7.09984042917447,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.35,5,8,1680
"108",9.44317675412099,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.66,3,8,11244
"16",8.6338584771951,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.05,3,7,6404
"416",5.74903206147773,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.2,6,9,497
"389",9.34649431457816,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.62,5,5,11910
"17",8.36389335321002,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.01,5,7,5476
"379",9.03529567984278,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.5,5,7,10130
"43",8.18436404238844,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.01,7,8,4350
"241",8.15232689188371,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.72,4,5,3648
"341",8.44126258926427,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.01,5,7,5550
"98",10.0200773408398,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.9,4,3,19488
"294",6.9955690262229,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.39,4,6,1094
"70",8.35839396171998,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.69,6,6,6455
"412",7.7484644906846,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.75,9,9,1599
"348",8.66524312887159,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.08,3,7,6180
"420",8.81524813554058,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1.05,6,7,7140
"417",9.04467954516008,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1.5,9,8,7350
"41",8.90245640175803,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1.01,5,7,8699
"411",8.24968857795728,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,9,9,2999
"384",9.37732400456265,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.71,3,8,11840
"247",8.14172769874791,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.61,3,3,3147
"34",9.80493809335669,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2.37,7,9,9999
"256",7.83059752736946,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.71,6,5,2611
"400",9.52235985891939,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.5,2,6,13820
"51",7.64220006235462,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.59,6,4,1770
"104",9.03457467315651,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.58,7,6,7894
"423",7.76857968260241,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.58,7,6,3389
"162",8.99530324273181,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.04,2,5,8175
"225",8.13973464776786,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.72,5,4,3240
"248",8.17423640157706,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.77,4,5,3348
"192",8.272112154059,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.02,7,6,4257
"259",8.07636384273504,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.72,3,7,3109
