"","x"
"(Intercept)",-1.64173207590238
"word_freq_make",-0.143859057035088
"word_freq_address",-0.155502554742874
"word_freq_all",-0.00344367260382869
"word_freq_3d",1.84304277326006
"word_freq_our",0.409546802177086
"word_freq_over",0.956188271165504
"word_freq_remove",3.15780863518552
"word_freq_internet",0.481006506817858
"word_freq_order",0.556256252564718
"word_freq_mail",0.176758215808104
"word_freq_receive",-0.897168877841486
"word_freq_will",-0.164275703186055
"word_freq_people",-0.407523896539962
"word_freq_report",0.129228775995408
"word_freq_addresses",3.1556027367168
"word_freq_free",1.23689949033064
"word_freq_business",1.18939225639996
"word_freq_email",-0.0153388142552519
"word_freq_you",0.103645855772309
"word_freq_credit",1.32095529058325
"word_freq_your",0.214468789858769
"word_freq_font",0.0776369829329759
"word_freq_000",3.3170143409723
"word_freq_money",1.46863717203772
"word_freq_hp",-2.32927525961186
"word_freq_hpl",-0.66639716678852
"word_freq_george",-17.8729438824278
"word_freq_650",0.423770594519375
"word_freq_lab",-2.46059612530794
"word_freq_labs",-0.117177351628192
"word_freq_telnet",-3.98397328058155
"word_freq_857",1.94940555055541
"word_freq_data",-0.814628559971446
"word_freq_415",-7.52843975848332
"word_freq_85",-1.81971469711305
"word_freq_technology",1.21167684630804
"word_freq_1999",-0.0832539243434771
"word_freq_parts",-0.718727847508897
"word_freq_pm",-0.945089326777273
"word_freq_direct",-0.135574269926465
"word_freq_cs",-514.440058166779
"word_freq_meeting",-3.41639256442594
"word_freq_original",-1.32006529064629
"word_freq_project",-1.58666167353746
"word_freq_re",-0.915974450404142
"word_freq_edu",-1.59283477270016
"word_freq_table",-4.7361847778851
"word_freq_conference",-6.22998654535718
"char_freq_semic",-1.24414522071921
"char_freq_openBracket",-0.275350642998246
"char_freq_openSquareBracket",-0.751320306737704
"char_freq_exclamationMark",0.258107539661914
"char_freq_dollarSign",5.94616646140131
"char_freq_Hash",3.52055938849305
"capital_run_length_average",0.0410296328881331
"capital_run_length_longest",0.00917344291389788
"capital_run_length_total",0.0011167991583729
