"","x"
"(Intercept)",-1.72015060407281
"word_freq_address",-0.144647252092159
"word_freq_3d",1.77432895504917
"word_freq_our",0.417568937163586
"word_freq_over",0.895410201172503
"word_freq_remove",3.1650226244433
"word_freq_internet",0.501533740857357
"word_freq_order",0.537121645952476
"word_freq_mail",0.179668026900489
"word_freq_receive",-0.953760851022914
"word_freq_will",-0.165265490083618
"word_freq_addresses",2.66961818271109
"word_freq_free",1.25455222025174
"word_freq_business",1.15880333416862
"word_freq_you",0.104227510579002
"word_freq_credit",1.43548585511185
"word_freq_your",0.216715208889178
"word_freq_000",3.23864934851332
"word_freq_money",1.40935645353227
"word_freq_hp",-2.39197528780917
"word_freq_hpl",-0.65102262005093
"word_freq_george",-17.6658137250358
"word_freq_650",0.389663898120018
"word_freq_lab",-2.48078053144518
"word_freq_telnet",-3.8551984518561
"word_freq_data",-0.790272618145362
"word_freq_85",-1.78904131470955
"word_freq_technology",1.30403859617716
"word_freq_parts",-0.718507405950151
"word_freq_pm",-1.00513682735811
"word_freq_cs",-511.750401416426
"word_freq_meeting",-3.48973881646535
"word_freq_original",-1.25768455234047
"word_freq_project",-1.61737678764394
"word_freq_re",-0.923672535619473
"word_freq_edu",-1.61057431662262
"word_freq_table",-5.22490833793245
"word_freq_conference",-6.40274434795979
"char_freq_semic",-1.09976357575597
"char_freq_exclamationMark",0.261446239162312
"char_freq_dollarSign",5.9551651141062
"char_freq_Hash",3.72377916659799
"capital_run_length_average",0.04039967296794
"capital_run_length_longest",0.00912086161072006
"capital_run_length_total",0.00108525164171746
